config,n_seeds,sim_len,radius,batch_size,gamma,epsilon,buffer,warmup,update_ticks,learn_every,mean_comfort_mean,mean_comfort_median,mean_comfort_std,mean_comfort_min,mean_comfort_max,eval_deaths_mean,eval_deaths_median,zero_death_seeds,water_visit_pct_median,food_visit_pct_median,eat_rate_at_food_median,full_eat_rate_at_food_median,path_efficiency_median,perfectish_trip_rate_median,trip_success_rate_median,non_neighbor_jumps_max,run_time_seconds_mean,run_time_seconds_median,solved_rate,zero_death_rate
g_99__n_step_1,5,500000,5,512,0.99,,5000,500,500,20,0.5475683324087914,0.517374991905816,0.17995029134149124,0.3108308777758188,0.7285595197856208,60.0,81.0,2,80.71000000000001,0.5950000000000001,0.2804918297952038,0.017440225035161745,0.9545454545454546,0.9833333333333334,0.0,0,154.5718062399974,152.5101466999913,0.4,0.4
g_99__n_step_10,5,500000,5,512,0.99,,5000,500,500,20,0.6458459475727562,0.6660247522379519,0.2096750835880653,0.3124376841917404,0.8894476782350259,68.6,81.0,1,65.08,0.5599999999999999,0.7008196721311475,0.36690085870413736,0.9166666666666667,0.7467532467532467,0.0,0,161.57411125999934,159.77383740000369,0.2,0.2
g_98__n_step_1,5,500000,5,512,0.98,,5000,500,500,20,0.6015830903113928,0.44100391732832483,0.26511790611682606,0.3890383722470811,0.9103455749825543,64.8,67.0,1,58.045,6.0,0.5008333333333334,0.015873015873015872,1.0,0.9818181818181818,0.04817559863169897,0,158.96619208000192,157.80498929999885,0.2,0.2
g_98__n_step_10,5,500000,5,512,0.98,,5000,500,500,20,0.6872933416803407,0.674565360938002,0.1029357215758738,0.5533467069866439,0.7898157903925356,86.2,76.0,0,63.285000000000004,3.88,0.7291666666666666,0.6458333333333334,0.8333333333333334,0.45871559633027525,0.06546546546546547,0,170.82408158000035,171.64535399999295,0.0,0.0
g_999__n_step_20,5,500000,5,512,0.999,,5000,500,500,20,0.6392608092113096,0.6536056888353555,0.06356417313568839,0.5587385611615,0.6997064011471895,58.2,7.0,0,23.015,5.325,0.5868544600938967,0.37652582159624415,0.5322128851540616,0.0,0.23880597014925373,0,167.01916183999566,167.9508669999923,0.0,0.0
g_99__n_step_20,5,500000,5,512,0.99,,5000,500,500,20,0.6336474153709173,0.5833765773082225,0.10452045974009393,0.5571272260498144,0.8085259925702738,93.8,94.0,0,59.84,0.1,0.35,0.23076923076923078,1.0,1.0,0.0,0,165.50580782000324,166.56941579999693,0.0,0.0
g_98__n_step_20,5,500000,5,512,0.98,,5000,500,500,20,0.6052009635627915,0.5421682813171165,0.1846827026806583,0.441254277024045,0.9224684040127576,80.8,91.0,0,64.87,0.055,0.6671653612602306,0.48636911068594646,0.9166666666666667,0.38002953119232186,0.0,0,177.8296085799986,176.74097669999173,0.0,0.0
g_999__n_step_10,5,500000,5,512,0.999,,5000,500,500,20,0.5437326454830904,0.4495596162204741,0.16479811313329698,0.4081302367414344,0.723759631157966,77.4,84.0,1,54.06999999999999,2.1350000000000002,0.8148148148148148,0.08571428571428572,0.8846153846153846,0.5250150693188668,0.0,0,160.28637359999993,160.21074190000945,0.0,0.2
g_999__n_step_1,5,500000,5,512,0.999,,5000,500,500,20,0.3947048245794294,0.36661407494072745,0.09129441420927843,0.3036959182245574,0.5157450624509307,91.2,81.0,0,91.64999999999999,0.0,0.4122541603630862,0.12405446293494705,,,0.0,0,157.94930845999914,156.83675570000196,0.0,0.0
